camera_orientation,timestamp,num_rois,roi_detected_points,roi_threshold_used,roi_kl_divergence,roi_is_valid
left,24.472,3,2,23,0.0,1
left,24.472,3,1,23,0.0,1
left,24.488,3,0,0,0.0,1
left,24.488,3,1,23,0.0,1
left,24.488,3,1,23,0.0,1
left,24.508,3,2,23,0.0,1
left,24.508,3,3,23,0.0,1
left,24.508,3,2,23,0.0,1
left,24.524,3,1,23,0.0,1
left,24.524,3,1,23,0.0,1
left,24.524,3,0,0,0.0,1
left,24.54,3,1,23,0.0,1
left,24.54,3,2,23,0.0,1
left,24.54,3,2,23,0.0,1
left,24.552,3,2,23,0.0,1
left,24.552,3,3,23,0.0,1
left,24.552,3,2,23,0.0,1
left,24.604,3,2,23,0.0,1
left,24.604,3,3,23,0.0,1
left,24.604,3,2,23,0.0,1
left,24.66,3,2,23,0.0,1
left,24.66,3,3,23,0.0,1
left,24.66,3,2,23,0.0,1
left,24.688,3,1,23,0.0,1
left,24.688,3,2,23,0.0,1
left,24.688,3,1,23,0.0,1
left,24.712,3,1,23,0.0,1
left,24.712,3,1,23,0.0,1
left,24.712,3,1,23,0.0,1
left,24.72,3,2,23,0.0,1
left,24.72,3,3,23,0.0,1
left,24.72,3,2,23,0.0,1
left,24.752,3,2,23,0.0,1
left,24.752,3,3,23,0.0,1
left,24.752,3,2,23,0.0,1
left,24.772,3,2,23,0.0,1
left,24.772,3,2,23,0.0,1
left,24.772,3,1,23,0.0,1
left,24.792,3,0,0,0.0,1
left,24.792,3,1,23,0.0,1
left,24.792,3,1,23,0.0,1
left,24.804,3,2,23,0.0,1
left,24.804,3,3,23,0.0,1
left,24.804,3,2,23,0.0,1
left,24.82,3,1,23,0.0,1
left,24.82,3,1,23,0.0,1
left,24.82,3,0,0,0.0,1
left,24.844,3,1,23,0.0,1
left,24.844,3,2,23,0.0,1
left,24.844,3,2,23,0.0,1
left,24.868,3,2,23,0.0,1
left,24.868,3,3,23,0.0,1
left,24.868,3,2,23,0.0,1
left,24.904,3,2,23,0.0,1
left,24.904,3,3,23,0.0,1
left,24.904,3,2,23,0.0,1
left,24.96,3,2,23,0.0,1
left,24.96,3,3,23,0.0,1
left,24.96,3,2,23,0.0,1
left,24.988,3,1,23,0.0,1
left,24.988,3,2,23,0.0,1
left,24.988,3,1,23,0.0,1
left,25.012,3,1,23,0.0,1
left,25.012,3,1,23,0.0,1
left,25.012,3,1,23,0.0,1
left,25.02,3,2,23,0.0,1
left,25.02,3,3,23,0.0,1
left,25.02,3,2,23,0.0,1
left,25.052,3,2,23,0.0,1
left,25.052,3,3,23,0.0,1
left,25.052,3,2,23,0.0,1
left,25.072,3,2,23,0.0,1
left,25.072,3,2,23,0.0,1
left,25.072,3,1,23,0.0,1
left,25.092,3,0,0,0.0,1
left,25.092,3,1,23,0.0,1
left,25.092,3,1,23,0.0,1
left,25.108,3,2,23,0.0,1
left,25.108,3,3,23,0.0,1
left,25.108,3,2,23,0.0,1
left,25.12,3,1,23,0.0,1
left,25.12,3,1,23,0.0,1
left,25.12,3,0,0,0.0,1
left,25.148,3,1,23,0.0,1
left,25.148,3,2,23,0.0,1
left,25.148,3,2,23,0.0,1
left,25.164,3,2,23,0.0,1
left,25.164,3,3,23,0.0,1
left,25.164,3,2,23,0.0,1
left,25.204,3,2,23,0.0,1
left,25.204,3,3,23,0.0,1
left,25.204,3,2,23,0.0,1
left,25.256,3,2,23,0.0,1
left,25.256,3,3,23,0.0,1
left,25.256,3,2,23,0.0,1
left,25.288,3,1,23,0.0,1
left,25.288,3,2,23,0.0,1
left,25.288,3,1,23,0.0,1
left,25.304,3,1,23,0.0,1
left,25.304,3,1,23,0.0,1
left,25.304,3,1,23,0.0,1
left,25.32,3,2,23,0.0,1
left,25.32,3,3,23,0.0,1
left,25.32,3,2,23,0.0,1
left,25.356,3,2,23,0.0,1
left,25.356,3,3,23,0.0,1
left,25.356,3,2,23,0.0,1
left,25.376,3,2,23,0.0,1
left,25.376,3,2,23,0.0,1
left,25.376,3,1,23,0.0,1
left,25.392,3,0,0,0.0,1
left,25.392,3,1,23,0.0,1
left,25.392,3,1,23,0.0,1
left,25.404,3,2,23,0.0,1
left,25.404,3,3,23,0.0,1
left,25.404,3,2,23,0.0,1
left,25.42,3,1,23,0.0,1
left,25.42,3,1,23,0.0,1
left,25.42,3,0,0,0.0,1
left,25.444,3,1,23,0.0,1
left,25.444,3,2,23,0.0,1
left,25.444,3,2,23,0.0,1
left,25.456,3,2,23,0.0,1
left,25.456,3,3,23,0.0,1
left,25.456,3,2,23,0.0,1
left,25.52,3,2,23,0.0,1
left,25.52,3,3,23,0.0,1
